id,name,rating,address,city,lat,long
0,99-tea-house-fremont-2,4.5,3623 Thornton Ave,Fremont,37.5630,-122.0100
1,one-tea-fremont-2,4.5,46809 Warm Springs Blvd,Fremont,37.4891,-121.9294
2,royaltea-usa-fremont,4,38509 Fremont Blvd,Fremont,37.5513,-121.9938
3,teco-tea-and-coffee-bar-fremont,4.5,39030 Paseo Padre Pkwy,Fremont,37.5537,-121.9810
4,t-lab-fremont-3,4,34133 Fremont Blvd,Fremont,37.5761,-122.0437
5,q-tea-monster-newark,4,39181 Cedar Blvd,Newark,37.5230,-122.0058
6,gong-cha-fremont,4,46827 Warm Springs Blvd,Fremont,37.4886,-121.9292
7,happy-lemon-fremont-2,4.5,46873 Warm Spring Blvd,Fremont,37.4884,-121.9304
8,factory-tea-bar-fremont-2,3.5,46461 Mission Blvd,Fremont,37.4923,-121.9279
9,super-cue-cafe-fremont,3.5,43743 Boscell Rd,Fremont,37.5008,-121.9732
10,milk-and-honey-cafe-fremont,3.5,34265 Fremont Blvd,Fremont,37.5754,-122.0426
11,tea-island-fremont-2,4,46196 Warm Springs Blvd,Fremont,37.4935,-121.9299
12,taro-taro-dessert-and-tea-house-fremont,3.5,6018 Stevenson Blvd,Fremont,37.5196,-121.9895
13,i-tea-fremont-2,3.5,43421 Christy St,Fremont,37.5050,-121.9712
14,i-tea-newark,4,34925 Newark Blvd,Newark,37.5507,-122.0515
15,sharetea-fremont-2,4,3948 Washington Blvd,Fremont,37.5320,-121.9579
16,urbain-tea-fremont,3.5,1590 Washington Blvd,Fremont,37.5312,-121.9370
17,mandro-teahouse-newark-3,4,34956 Newark Blvd,Newark,37.5515,-122.0503
18,gong-cha-newark,4,39730 Cedar Blvd,Newark,37.5208,-121.9964
19,tea-six-fremont-2,3.5,34460 Fremont Blvd,Fremont,37.5751,-122.0386
20,tata-teahouse-fremont-2,3,39230 Argonaut Way,Fremont,37.5438,-121.9868
21,tea-station-newark,3.5,39115 Cedar Blvd,Newark,37.5234,-122.0066
22,sno-crave-tea-house-fremont,3,43773 Boscell Rd,Fremont,37.5000,-121.9736
23,boba-queen-fremont,5,34420 Fremont Blvd,Fremont,37.5757,-122.0398
24,t4-tea-fremont-2,3.5,43430 Mission Blvd,Fremont,37.5318,-121.9194
25,boba-fitt-drinks-union-city,3.5,31877 Alvarado Blvd,Union City,37.5897,-122.0711
26,sweet-home-cafe-fremont-2,3.5,6068 Stevenson Blvd,Fremont,37.5181,-121.9895
27,tea-era-mountain-view-2,4,271 Castro St,Mountain View,37.3930,-122.0793
28,teaspoon-los-altos,4,4546 El Camino Real,Los Altos,37.4013,-122.1145
29,t4-fremont-8,3.5,46132 Warm Springs Blvd,Fremont,37.4933,-121.9313
30,my-delights-fremont,4,43486 Ellsworth St,Fremont,37.5305,-121.9206
31,t4-fremont-3,3,36400 Fremont Blvd,Fremont,37.5631,-122.0153
32,sno-crave-teahouse-union-city,4,1788 Decoto Rd,Union City,37.5890,-122.0209
33,sharetea-union-city-3,3.5,34391 Alvarado Niles Rd,Union City,37.5872,-122.0227
34,tastea-san-jose-2,4,1160 N Capitol Ave,San Jose,37.3878,-121.8602
35,i-tea-castro-valley,4,20666 Redwood Rd,Castro Valley,37.6959,-122.0729
36,caface-newark-2,3.5,6180 Jarvis Ave,Newark,37.5487,-122.0493
37,tea-villa-milpitas,4,1679 N Milpitas Blvd,Milpitas,37.4547,-121.9116
38,mr-green-bubble-union-city,3.5,1644 Decoto Rd,Union City,37.5896,-122.0207
39,pop-tea-bar-palo-alto-2,4,456 Cambridge Ave,Palo Alto,37.4266,-122.1463
40,i-tea-milpitas,4,760 E Calaveras Blvd,Milpitas,37.4327,-121.8928
41,joy-4-tea-union-city,3.5,32148 Alvarado Blvd,Union City,37.5894,-122.0677
